CITES Listed Sharks and Rays,,,,,,,,,,
Appendix,Listing Year,Proposal,Species,Status (check about plenary),Voting in Committee,Votes in Favor,Votes Opposed,Votes Abstained,Proposal Link,Meeting Report Link
II,2002,12.35,Rhincodon typus,Rejected in Committee,Secret Ballot,62,34,9,https://cites.org/sites/default/files//eng/cop/12/prop/E12-P35.pdf,https://cites.org/sites/default/files/eng/cop/12/rep/ComI_11.PDF
II,2002,12.35,Rhincodon typus,Adopted in Plenary,Secret Ballot,81,37,3,NA,https://cites.org/sites/default/files/eng/cop/12/rep/Plen9.PDF
II,2013,42,Carcharhinus longimanus,Adopted in Committee;,Secret Ballot,92,42,8,https://cites.org/sites/default/files/eng/cop/16/prop/E-CoP16-Prop-42.pdf,https://cites.org/sites/default/files/common/cop/16/sum/E-CoP16-Com-I-Rec-10.pdf
II,2013,43,Sphyrna spp.,Adopted in Committee;,Secret Ballot,91,39,8,https://cites.org/sites/default/files/eng/cop/16/prop/E-CoP16-Prop-43.pdf,https://cites.org/sites/default/files/common/cop/16/sum/E-CoP16-Com-I-Rec-10.pdf
II,2013,44,Lamna nasus,Adopted in Committee;,Secret Ballot,93,39,8,https://cites.org/sites/default/files/eng/cop/16/prop/E-CoP16-Prop-44.pdf,https://cites.org/sites/default/files/common/cop/16/sum/E-CoP16-Com-I-Rec-11.pdf
II,2013,46,Manta spp.,Adopted in Committee;,Secret Ballot,96,23,7,https://cites.org/sites/default/files/eng/cop/16/prop/E-CoP16-Prop-46.pdf,https://cites.org/sites/default/files/common/cop/16/sum/E-CoP16-Com-I-Rec-11.pdf
II,2016,42,Carcharhinus falciformis,Adopted in Committee; did not go to Plenary,Secret Ballot,111,30,5,https://cites.org/sites/default/files/eng/cop/17/prop/060216/E-CoP17-Prop-42.pdf,https://cites.org/sites/default/files/eng/cop/17/Com_I/SR/E-CoP17-Com-I-Rec-14-R2.pdf
II,2016,43,Alopias spp.,Adopted in Committee; did not go to Plenary,Secret Ballot,108,29,5,https://cites.org/sites/default/files/eng/cop/17/prop/060216/E-CoP17-Prop-43.pdf,https://cites.org/sites/default/files/eng/cop/17/Com_I/SR/E-CoP17-Com-I-Rec-14-R2.pdf
II,2016,44,Mobula spp.,Adopted in Committee; did not go to Plenary,Secret Ballot,110,20,3,https://cites.org/sites/default/files/eng/cop/17/prop/060216/E-CoP17-Prop-44.pdf,https://cites.org/sites/default/files/eng/cop/17/Com_I/SR/E-CoP17-Com-I-Rec-14-R2.pdf
II,2018,42,Isurus spp.,Adopted in Committee; did not go to Plenary,Secret Ballot,102,40,5,https://cites.org/sites/default/files/eng/cop/18/prop/060319/E-CoP18-Prop-42.pdf,https://cites.org/sites/default/files/eng/cop/18/Com_I/SR/E-CoP18-Com-I-Rec-12-R1.pdf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
