Appendix,App I Year,App II Year,Overall Year,MoU Annex,Species Name,Common Name,Proposal,Proposal Link,Meeting Report Link
"I, II",,1999,1999,2010,Rhincodon typus,Whale Shark,Proposal II/13,https://www.cms.int/sites/default/files/document/CMS_COP6_II_13_Rhincodon_typus-Phil-E.pdf,No Meeting Report
II,-,2008,2008,2010,Isurus spp.,Shortfin Mako Shark,Proposal II/9,https://www.cms.int/sites/default/files/document/cms_cop9_app_II-09_Isurus_HRV_e.pdf,No Meeting Report
II,-,2008,2008,2010,Lamna nasus,Porbeagle,Proposal II/10,https://www.cms.int/sites/default/files/document/cms_cop9_app_II-10_rev1_Lamna_nasus_porbeagle_ECU_e.pdf,No Meeting Report
"I, II",2011,2011,2011,2016,Manta birostris,Oceanic Manta Ray,Proposal I/5,https://www.cms.int/sites/default/files/document/1_5_manta_birostris_rev1_e.pdf,
II,-,2014,2014,2016,Alopias spp.,Pelagic Thresher Shark,Proposal II/8,https://www.cms.int/sites/default/files/document/Doc_24_1_17_Prop_II_8_Alopias_spp_%28Thresher_shark%29_EU_E.pdf,https://www.cms.int/sites/default/files/publication/cms_cop11_proceedings_e.pdf
II,-,2014,2014,2016,Carcharhinus falciformis,Silky Shark,Proposal II/5,https://www.cms.int/sites/default/files/document/Doc_24_1_14_Prop_II_5_Carcharhinus_falciformis_%28Silky%20Shark%29_EGY_rev1_0.pdf,https://www.cms.int/sites/default/files/publication/cms_cop11_proceedings_e.pdf
"I, II",2014,2014,2014,2016,Manta alfredi,Reef Manta Ray,Proposal I/9 & II/10,https://www.cms.int/sites/default/files/document/Doc_%2024_1_9_prop_1_9_%26_II_10_Manta_alfredi_%28Reef_Manta_Ray%29_FJI_rev1.pdf,https://www.cms.int/sites/default/files/publication/cms_cop11_proceedings_e.pdf
"I, II",2014,2014,2014,2016,Mobula spp.,Pygmy Devil Ray,Proposal I/10 & II/11,https://www.cms.int/sites/default/files/document/Doc_24_1_10_Prop_I_10_%26_II_11_Mobula_spp_%28Mobula_Rays%29_FJI_0_Rev_1_0.pdf,https://www.cms.int/sites/default/files/publication/cms_cop11_proceedings_e.pdf
II,-,2014,2014,2016,Sphyrna spp.,Scalloped hammerhead shark,Proposal II/6 & II/7,https://www.cms.int/sites/default/files/document/COP11_Doc_24_1_16_Rev1_Prop_II_7_Sphyrna_lewini_%28Hammerhead_Shark%29_CRI%26ECU_E_corr2.pdf,https://www.cms.int/sites/default/files/publication/cms_cop11_proceedings_e.pdf
II,-,2017,2017,-,Prionace glauca,Blue Shark,Item 25.1.22,https://www.cms.int/sites/default/files/document/cms_cop12_Doc%2025.1.22_Rev1_Listing-proposal-blue-shark-AppII-Samoa-Sri-lanka_0.pdf,https://www.cms.int/sites/default/files/document/cms_cop12_report_e.pdf
"I, II",2017,,2017,2010,Rhincodon typus,Whale Shark,Item 25.1.20,https://www.cms.int/sites/default/files/document/cms_cop12_doc.25.1.20_listing-proposal-whale-shark-appI-Philippines-Israel-Sri%20Lanka_e.pdf,
II,-,2020,2020,2018,Sphyrna zygaena,Smooth Hammerhead Shark,Item 27.1.9,https://www.cms.int/sites/default/files/document/cms_cop13_doc.27.1.9b_proposal-inclusion-smooth-hammerhead-shark_eu_e_0.pdf,https://www.cms.int/sites/default/files/document/cms_cop13_report-of-the-meeting_e.pdf
I,2020,-,2020,2018,Carcharhinus longimanus,Oceanic whitetip shark,Item 27.1.8,https://www.cms.int/sites/default/files/document/cms_cop13_doc.27.1.8_rev.2_proposal-inclusion-oceanic-whitetip-shark-br_e.pdf,https://www.cms.int/sites/default/files/document/cms_cop13_report-of-the-meeting_e.pdf
