Country ,membership_status,Manta birostris,Alopas spp.,Carcharhinus falciformis_2012,Carcharhinus falciformis_2014,Carcharhinus falciformis_2015,Carcharhinus falciformis_2019,Manta alfredi,Mobula spp_2015,Sphyrna spp.,Prionace glauca,Rhincodon typus 2017,Sphyrna zygaena_2011,Sphyrna zygaena_2012,Sphyrna zygaena_2015,Carcharhinus longimanus_2011
Canada,member,,,,,,,,,,,,,,,
Belize,member,,,,,,,,,,,,,,,
China,member,,,,,,,,,,,,,,,
Costa Rica,member,,,,,,,,,,,,,,,
Ecuador,member,,,,,,,,,,,,,,,
El Salvador,member,,,,,,,,,,,,,,,
European Union,member,,,,1,1,,,1,,,,1,1,,1
France,member,,,,,,,,,,,,,,,
Guatemala,member,,,,,,,,,,,,,,,
Kiribati,member,,,,,,,,,,,,,,,
Korea,member,,,,,,,,,,,,,,,
Mexico,member,,,,0,,,,,,,,,,,
Nigaragua,member,,,,0,,,,,,,,,,,
Panama,member,,,,,,,,,,,,,,,
Peru,member,,,,,,,,,,,,,,,
Chinese Taipei/Taiwan,member,,,,,,,,,,,,,,,
Vanuatu,member,,,,,,,,,,,,,,,
Venezuela,member,,,,,,,,,,,,,,,
Japan,member,,,,0,,,,,,,,,,,1
USA ,member,,,,,,,,,,,,,,1,
Colombia,member,,,1,0,,,,,,,,,,,
