Country,membership_status,Manta birostris,Alopas spp.,Carcharhinus falciformis_2014,Manta alfredi,Mobula spp_2017,Mobula spp_2020,Sphyrna spp.,Prionace glauca,Rhincodon typus_2010,Rhincodon typus_2012,Rhincodon typus_2013,Sphyrna zygaena,Carcharhinus longimanus_2012
China,member,,,,,,0,,,,,,,
Canada,member,,,,,,,,,,,,,
USA,member,,,,,1,,,,,1,,,1
EU,member,,,1,,,1,,,,,,,1
France,member,,,,,,,,,,,,,
Chinese Taipei,member,,,,,,,,,,,,,
Indonesia,member,,,,,,1,,,,,,,
Japan,member,,,,,0,0,,,0,0,,,
Mexico,cooperating non-contracting party,,,,,,,,,,1,,,
Korea,member,,,,,0,1,,,,,,,
Philippines,member,,,,,,,,,,,,,
French Polynesia,participating territory,,,,,,,,,,1,,,
New Caledonia,participating territory,,,,,,1,,,,,,,
Chinese Taipei/Taiwan,member,,,,,0,,,,,1,,,
FFA,FFA,,,1,,1,1,,,1,1,,,1
Marshall Islands ,member,,,,,,,,,,,,,
Nauru ,member,,,,,,,,,,,,,
New Zealand ,member,,,,,,,,,,1,,,
Niue ,member,,,,,,,,,,,,,
Palau ,member,,,,,,1,,,,,,,
Papua New Guinea ,member,,,,,,,,,,,,,
Cook Islands,member,,,,,,,,,,,,,
Samoa ,member,,,,,,,,,,,,,
Solomon Islands ,member,,,,,,,,,,,,,
Australia ,member,,,,,1,1,,,1,1,1,,
Tonga,member,,,,,,,,,,,,,
Tuvalu ,member,,,,,,,,,,,,,
Kiribati ,member,,,,,,,,,,,,,
Vanuatu ,member,,,,,,,,,,,,,
Micronesia,member,,,,,,,,,,,,,
Fiji ,member,,,,,1,,,,,,,,
