"Alpha3Code","CountryName","Species","Year","value"
"phl","Philippines","Rhincodon typus",1999,1
"hrv","Croatia ","Isurus spp",2008,1
"eu","European Union","Lamna nasus",2008,1
"ecu","Ecuador","Manta birostris",2011,1
"eu","European Union","Alopias spp",2014,1
"egy","Egypt","Carcharhinus falciformis",2014,1
"fji","Fiji","Manta alfredi",2014,1
"fji","Fiji","Mobula spp",2014,1
"cri","Costa Rica","Sphyrna spp",2014,1
"ecu","Ecuador","Sphyrna spp",2014,1
"wsm","Samoa","Prionace glauca",2017,1
"lka","Sri Lanka","Prionace glauca",2017,1
"isr","Israel","Rhincodon typus",2017,1
"phl","Philippines","Rhincodon typus",2017,1
"lka","Sri Lanka","Rhincodon typus",2017,1
"bra","Brazil","Sphyrna zygaena",2020,1
"eu","European Union","Sphyrna zygaena",2020,1
"bra","Brazil","Carcharhinus longimanus",2020,1
